run_id,druid,file,language,transcript_filename,transcript_language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,diff,options
bb158br2509-whisper-042,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,418.033015,0.0611479028697571,0.0604275741710296,0.0845120267842028,0.9154879732157972,4307,112,54,111,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-042.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-031,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.510023,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-031.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-032,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.579627,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-032.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-047,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.593631,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-047.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-048,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,347.579654,0.0615894039735099,0.0610102777170347,0.0822333883343163,0.9177666116656836,4294,98,43,138,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-048.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-011,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,199.987223,0.062251655629139,0.0616124098754642,0.0853120060136179,0.914687993986382,4295,110,47,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-011.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-012,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,199.28102,0.062251655629139,0.0616124098754642,0.0853120060136179,0.914687993986382,4295,110,47,125,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-012.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-015,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,217.672622,0.062251655629139,0.0616797900262467,0.0845616872942588,0.9154383127057412,4290,106,42,134,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-015.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-016,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,217.771041,0.062251655629139,0.0616797900262467,0.0845616872942588,0.9154383127057412,4290,106,42,134,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-016.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-027,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.402533,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-027.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-028,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.26932,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-028.html,"{'model_name': 'large', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-043,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.294513,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-043.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-044,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,315.333237,0.0644591611479028,0.0638670166229221,0.0853207623858236,0.9146792376141764,4280,99,42,151,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-044.html,"{'model_name': 'large-v3', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-009,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,234.252177,0.066887417218543,0.0664473684210526,0.0895647888300421,0.9104352111699578,4257,107,30,166,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-009.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-010,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,234.001258,0.066887417218543,0.0664473684210526,0.0895647888300421,0.9104352111699578,4257,107,30,166,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-010.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-005,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,169.810724,0.0671081677704194,0.0666520499890375,0.0876961646794082,0.9123038353205918,4257,97,31,176,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-005.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-006,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,175.699457,0.0671081677704194,0.0666520499890375,0.0876961646794082,0.9123038353205918,4257,97,31,176,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-006.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-003,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,143.839573,0.0682119205298013,0.0674083769633507,0.089310540714275,0.910689459285725,4275,101,54,154,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-003.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 5}"
bb158br2509-whisper-004,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,143.844304,0.0682119205298013,0.0674083769633507,0.089310540714275,0.910689459285725,4275,101,54,154,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-004.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': False, 'best_of': 10}"
bb158br2509-whisper-013,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,253.158676,0.0693156732891832,0.0688143765066842,0.0902920145339624,0.9097079854660376,4249,99,33,182,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-013.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-014,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,253.214542,0.0693156732891832,0.0688143765066842,0.0902920145339624,0.9097079854660376,4249,99,33,182,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-014.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bb158br2509-whisper-001,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,165.593779,0.0704194260485651,0.0699408024556018,0.0907965361009763,0.9092034638990236,4242,96,31,192,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-001.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 5}"
bb158br2509-whisper-002,bb158br2509,bb158br2509_sl.m4a,en,bb158br2509_script.txt,en,158.218959,0.0704194260485651,0.0699408024556018,0.0907965361009763,0.9092034638990236,4242,96,31,192,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bb158br2509-whisper-002.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 1.0, 'condition_on_previous_text': True, 'best_of': 10}"
bg405cn7261-whisper-061,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,101.940079,0.0174577195853791,0.0173441734417344,0.0254248796223819,0.974575120377618,1813,15,12,5,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-061.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 5}"
bg405cn7261-whisper-062,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,101.984791,0.0174577195853791,0.0173441734417344,0.0254248796223819,0.974575120377618,1813,15,12,5,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-062.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': True, 'best_of': 10}"
bg405cn7261-whisper-055,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,65.120339,0.0212765957446808,0.0210355987055016,0.0290779257640184,0.9709220742359816,1815,15,21,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-055.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-056,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,65.147369,0.0212765957446808,0.0210355987055016,0.0290779257640184,0.9709220742359816,1815,15,21,3,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-056.html,"{'model_name': 'medium', 'beam_size': 5, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
bg405cn7261-whisper-063,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,86.665194,0.0229132569558101,0.0226293103448275,0.0296232730275283,0.9703767269724716,1814,13,23,6,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-063.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 5}"
bg405cn7261-whisper-064,bg405cn7261,bg405cn7261_v2_sl.mp4,en,bg405cn7261_v2_sl_script.txt,en,86.567531,0.0229132569558101,0.0226293103448275,0.0296232730275283,0.9703767269724716,1814,13,23,6,https://sul-dlss.github.io/whisper-pilot/output-2024-04-11/bg405cn7261-whisper-064.html,"{'model_name': 'medium', 'beam_size': 10, 'patience': 2.0, 'condition_on_previous_text': False, 'best_of': 10}"
