file,language,runtime,wer,mer,wil,wip,hits,substitutions,insertions,deletions,options
qf378nj5000_sl.mp4,en,431.972029,1.2429524424359801,0.9727180868979455,0.9990476366736087,0.0009523633263912855,162,4477,1291,8,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
qf378nj5000_sl.mp4,en,832.081738,1.2784592210027974,0.9718632422705709,0.9989570350916233,0.0010429649083767455,172,4466,1466,9,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
qf378nj5000_sl.mp4,en,799.439967,1.2760921024316763,0.9719718079003442,0.9989670967268824,0.0010329032731175559,171,4467,1454,9,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
qf378nj5000_sl.mp4,en,473.669241,1.2451043684097267,0.9721102150537635,0.999002045235063,0.0009979547649370353,166,4471,1305,10,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
qf378nj5000_sl.mp4,en,473.79486,1.2451043684097267,0.9721102150537635,0.999002045235063,0.0009979547649370353,166,4471,1305,10,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,22.014797,0.3391304347826087,0.32231404958677684,0.4229977116704805,0.5770022883295195,246,40,18,59,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,22.769147,0.3391304347826087,0.32231404958677684,0.4229977116704805,0.5770022883295195,246,40,18,59,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,15.659258,0.2927536231884058,0.29022988505747127,0.3881049094829747,0.6118950905170253,247,39,3,59,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,15.678252,0.2927536231884058,0.29022988505747127,0.3881049094829747,0.6118950905170253,247,39,3,59,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,23.583815,0.3333333333333333,0.3185595567867036,0.41917650446300025,0.5808234955369997,246,40,16,59,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,24.74273,0.3391304347826087,0.32231404958677684,0.4229977116704805,0.5770022883295195,246,40,18,59,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,16.57204,0.2927536231884058,0.29022988505747127,0.3881049094829747,0.6118950905170253,247,39,3,59,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,16.572769,0.2927536231884058,0.29022988505747127,0.3881049094829747,0.6118950905170253,247,39,3,59,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,26.7568,0.336231884057971,0.31693989071038253,0.4099041684369541,0.5900958315630459,250,36,21,59,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,26.747456,0.336231884057971,0.31693989071038253,0.4099041684369541,0.5900958315630459,250,36,21,59,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,22.755045,0.2898550724637681,0.28735632183908044,0.38526736631684155,0.6147326336831584,248,39,3,58,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,22.73864,0.2898550724637681,0.28735632183908044,0.38526736631684155,0.6147326336831584,248,39,3,58,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,28.339937,0.336231884057971,0.31693989071038253,0.4099041684369541,0.5900958315630459,250,36,21,59,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,28.346298,0.336231884057971,0.31693989071038253,0.4099041684369541,0.5900958315630459,250,36,21,59,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
fh290wd1772_v2_sp_sl.m4a,en,24.10311,0.2898550724637681,0.28735632183908044,0.38526736631684155,0.6147326336831584,248,39,3,58,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
fh290wd1772_v2_sp_sl.m4a,en,24.078165,0.2898550724637681,0.28735632183908044,0.38526736631684155,0.6147326336831584,248,39,3,58,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
bg405cn7261_v2_sl.mp4,en,227.409102,0.07310420076377523,0.06907216494845361,0.08041462084015283,0.9195853791598472,1806,22,107,5,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
bg405cn7261_v2_sl.mp4,en,241.610511,0.04964539007092199,0.04814814814814815,0.06033493341137741,0.9396650665886226,1799,23,57,11,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
bg405cn7261_v2_sl.mp4,en,102.034226,0.022913256955810146,0.022641509433962263,0.03173962122310081,0.9682603787768992,1813,17,22,3,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=5
bg405cn7261_v2_sl.mp4,en,101.58662,0.022913256955810146,0.022641509433962263,0.03173962122310081,0.9682603787768992,1813,17,22,3,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=False_best_of=10
bg405cn7261_v2_sl.mp4,en,222.352181,0.1789416257501364,0.1561161351737268,0.17905026641773325,0.8209497335822667,1773,48,268,12,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=5
bg405cn7261_v2_sl.mp4,en,315.339489,0.08346972176759411,0.0781010719754977,0.08935634151775618,0.9106436584822438,1806,22,126,5,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=True_best_of=10
bg405cn7261_v2_sl.mp4,en,110.085419,0.024549918166939442,0.02425876010781671,0.035462170573720586,0.9645378294262794,1810,21,22,2,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=5
bg405cn7261_v2_sl.mp4,en,110.963557,0.024549918166939442,0.02425876010781671,0.035462170573720586,0.9645378294262794,1810,21,22,2,model_name=large_beam_size=5_patience=2.0_condition_on_previous_text=False_best_of=10
bg405cn7261_v2_sl.mp4,en,278.749095,0.06928532460447354,0.065905552672548,0.0784180875810011,0.9215819124189989,1800,24,94,9,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=5
bg405cn7261_v2_sl.mp4,en,378.449593,0.06546644844517185,0.06217616580310881,0.0725020249471221,0.9274979750528779,1810,20,97,3,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=True_best_of=10
bg405cn7261_v2_sl.mp4,en,146.061392,0.022913256955810146,0.022690437601296597,0.033397813236309304,0.9666021867636907,1809,20,18,4,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=5
bg405cn7261_v2_sl.mp4,en,146.901845,0.022913256955810146,0.022690437601296597,0.033397813236309304,0.9666021867636907,1809,20,18,4,model_name=large_beam_size=10_patience=1.0_condition_on_previous_text=False_best_of=10
bg405cn7261_v2_sl.mp4,en,324.706165,0.09547190398254228,0.08816120906801007,0.09595923220693181,0.9040407677930682,1810,15,152,8,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=5
bg405cn7261_v2_sl.mp4,en,232.46592,0.04091653027823241,0.04006410256410257,0.053354627811279975,0.94664537218872,1797,25,39,11,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=True_best_of=10
bg405cn7261_v2_sl.mp4,en,157.868231,0.022913256955810146,0.022690437601296597,0.033397813236309304,0.9666021867636907,1809,20,18,4,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=5
bg405cn7261_v2_sl.mp4,en,157.975835,0.022913256955810146,0.022690437601296597,0.033397813236309304,0.9666021867636907,1809,20,18,4,model_name=large_beam_size=10_patience=2.0_condition_on_previous_text=False_best_of=10
gn213vd3845_ev_1_sl.mp4,es,58.866942,0.21608832807570977,0.20176730486008837,0.26335428024053,0.73664571975947,542,42,45,50,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=5
gn213vd3845_ev_1_sl.mp4,es,74.404766,0.2539432176656151,0.24393939393939393,0.31097183020643093,0.6890281697935691,499,45,26,90,model_name=large_beam_size=5_patience=1.0_condition_on_previous_text=True_best_of=10
